Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.810997375,0.97357544,11.65386566,-0.728085938,11.71710472
1.821026375,-0.079335022,10.93850327,0.004041595,10.93879171
1.831055375,-1.153950348,10.41399399,-0.20357666,10.47970971
1.841084375,-0.879570923,10.0502504,-0.296982422,10.09303604
1.851114375,-0.442479858,9.5034375,0.073796539,9.51401906
1.861143375,-1.303938446,9.345216522,0.779129791,9.467859872
1.871172375,-1.298250275,9.617649994,0.262703705,9.708432336
1.881201375,0.104482727,9.933493195,-0.982107697,9.982471598
1.891230375,-0.252674561,9.933193817,1.115180969,9.998790549
1.901259375,-1.024768982,9.633816376,2.188898163,9.932363495
1.911289375,-1.049317932,9.863438873,1.393751678,10.01653824
1.921318375,-0.851130066,10.20562729,1.000519409,10.28981486
1.931347375,-0.304915924,10.38450531,3.033142548,10.82270197
1.941376375,0.252674561,10.2943927,3.129392395,10.7625026
1.951405375,0.93136322,10.10084518,-1.011895752,10.19403963
1.961434375,0.538729706,9.719138947,-1.805695038,9.900122531
1.971464375,0.466130676,9.422306213,-0.559835815,9.450425828
1.981493375,0.545914764,9.070986786,-0.437240753,9.09791205
1.991522375,-0.437390442,8.363707581,-0.021555176,8.375164447
2.001551375,-1.401984558,7.084168396,1.354084167,7.347417675
2.011580375,-2.228865051,6.240373077,1.684596863,6.837248142
2.021610375,-2.259251862,7.522906036,0.995130615,7.917614486
2.031639375,-1.877395935,9.693093109,0.296683044,9.877686488
2.041668375,-1.556762695,10.85407883,-0.290246429,10.96899176
2.051697375,-1.219364319,11.70580765,-0.348175964,11.7742944
2.061726375,-0.849782867,12.36039642,0.018411713,12.38958715
2.071755375,-0.42586441,11.91761719,0.203726349,11.92696375
2.081785375,0.600102081,11.50522476,0.337847443,11.52581712
2.091814375,0.28545639,10.50455566,0.858015747,10.54340391
2.101843375,-0.639470215,9.324858856,0.705183563,9.373323781
2.111872375,0.242495728,9.889185333,-0.33111145,9.897697991
2.121901375,1.181642761,10.300979,-0.571361847,10.38426225
2.131930375,0.811761932,10.00998413,0.11705658,10.04352737
2.141960375,-0.725391541,9.866881714,0.840202789,9.929123243
2.151989375,0.295485535,10.62520477,0.109123077,10.62987281
2.162018375,0.280366974,10.68403244,-0.405357056,10.69539476
2.172047375,-0.223036194,10.75708054,0.249830475,10.7622926
2.182076375,0.289198608,11.32889145,-0.12409195,11.33326149
2.192105375,0.291743317,11.11872849,-1.156944122,11.18256487
2.202135375,-0.038020935,11.35418884,-0.424517212,11.36218574
2.212164375,-0.634530487,10.35845947,-1.687440948,10.51416989
2.222193375,-1.967358856,8.641380157,-3.31485672,9.462147059
2.232222375,-1.897454224,8.614735565,-1.100661163,8.889626336
2.242251375,-1.55391861,9.163344727,0.81909668,9.330191262
2.252280375,-1.603315887,9.040150909,2.977757721,9.652045967
2.262310375,-1.838776245,8.678203583,3.880081329,9.682321345
2.272339375,-1.429377594,8.560697937,3.861370239,9.499413119
2.282368375,-0.277522888,8.843010864,2.640359344,9.232949559
2.292397375,0.870439911,9.731862488,0.585881653,9.78826187
2.302426375,1.379231873,9.934990082,-0.648152161,10.05118947
2.312455375,0.986897736,9.62977478,-0.550704804,9.695865368
2.322485375,0.590372315,9.352102203,-0.154329071,9.371988719
2.332514375,1.120569763,9.343719635,0.424217835,9.420230039
2.342543375,0.575253754,8.839118958,0.99572937,8.913608574
2.352572375,-1.596280518,8.28542038,0.841849365,8.479682347
2.362601375,-2.951861572,8.351582794,0.278570709,8.862280945
2.372630375,-3.197650452,8.709937592,0.336799622,9.284471727
2.382660375,-3.135379944,8.286019135,0.528251495,8.875120852
2.392689375,-3.091820526,9.164841614,1.475332031,9.784185228
2.402718375,-3.218606873,10.26595184,1.780996399,10.90509723
2.412747375,-2.687960358,10.89524323,1.249900818,11.29131117
2.422776375,-1.689386902,10.29020142,0.871487732,10.46430906
2.432805375,-1.714384918,9.352850647,0.879121857,9.549229608
2.442835375,-1.425785065,8.922645264,1.491049347,9.158039621
2.452864375,-0.703087921,6.57238266,3.550466766,7.503090078
2.462893083,-0.256566467,4.459526367,1.967807922,4.881134068
2.472922083,-0.51597702,4.05312149,0.339643707,4.099924871
2.482951083,-0.568966827,4.521796875,0.252225494,4.564426353
2.492980083,-0.447718964,3.109633484,-0.587079163,3.196081134
2.503010083,0.416733398,3.274141388,-0.349373474,3.318995387
2.513039083,1.85105072,5.944139099,-0.259410553,6.231089169
2.523068083,-0.227975922,4.966222687,-1.498533783,5.192392926
2.533097083,-1.012644196,6.769971771,-0.886306915,6.902427544
2.543126083,-1.094823303,8.421487427,0.835562439,8.533361186
2.553156083,-2.090103607,9.573491821,1.561403046,9.922613477
2.563185083,-4.46386734,10.9486821,0.497415619,11.83415285
2.573214083,-5.3602034,10.49437683,3.212170258,12.21399866
2.583243083,-5.583389282,9.194779358,0.255668335,10.76027739
2.593272083,-5.009482727,9.80880249,-4.474794617,11.88828458
2.603301083,-3.298989716,10.34438873,-0.577349396,10.87304206
2.613331083,-2.018851776,11.32245483,-0.720451813,11.52357569
2.623360083,-1.112486572,11.74457703,1.91661438,11.95182524
2.633389083,-0.371976471,12.72863068,2.799328766,13.03812283
2.643418083,0.568517761,12.22597595,1.226399689,12.3004779
2.653447083,-0.215102692,9.530680847,-0.034877472,9.533171719
